Majority protein IDs- with isoform information,Replicate,Ratio M/L 1,Ratio M/L 2,Ratio M/L 3,Ratio M/L 4,Ratio M/L 5,Ratio M/L 6,Ratio M/L 7,Ratio M/L 8,Ratio M/L 9,Ratio M/L 10,Ratio M/L 11,Ratio M/L 12,Ratio M/L 13,Ratio M/L 14,Ratio M/L 15,Ratio M/L 16,Ratio M/L 17,Ratio M/L 18,Ratio M/L 19,Ratio M/L 20,Ratio M/L 21,Ratio M/L 22,Ratio M/L 23,Ratio M/L 24,Ratio M/L 25,Ratio M/L 26,Ratio M/L 27,Ratio M/L 28,Ratio M/L 29,Ratio M/L 30,Ratio M/L 31,Ratio M/L 32,Ratio M/L 33,Ratio M/L 34,Ratio M/L 35,Ratio M/L 36,Ratio M/L 37,Ratio M/L 38,Ratio M/L 39,Ratio M/L 40,Ratio M/L 41,Ratio M/L 42,Ratio M/L 43,Ratio M/L 44,Ratio M/L 45,Ratio M/L 46,Ratio M/L 47,Ratio M/L 48,Ratio M/L 49,Ratio M/L 50,Ratio M/L 51,Ratio M/L 52,Ratio M/L 53,Ratio M/L 54,Ratio M/L 55
Q8WYJ6,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.4155,5.3435,7.2974,2.8279,1.6058,0.88106,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.8212,1.9034,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q8WYP5,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0633,NaN,NaN,0.9982,0.57711,NaN,NaN,NaN,NaN
Q8WYQ5-3,2,NaN,NaN,2.1635,3.9938,2.5045,0.49734,2.957,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q8WZA9,2,NaN,NaN,0.55358,NaN,0.65267,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.27428,0.1228,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.20945,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.26669,NaN,0.53379,NaN,NaN,2.7615,4.4723,3.9663
Q92466,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.4531,NaN,0.53268,NaN,2.3708,2.4146,3.8348,5.2045,5.9451,2.8595,5.8402,3.8473,2.5942,2.7494,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q92499,2,0.2773,0.83917,1.629,1.9628,2.5872,1.7068,2.2096,2.2235,1.5702,1.7881,1.3948,NaN,NaN,NaN,NaN,0.31498,NaN,0.34706,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.88114,NaN,NaN,NaN,1.0417,0.80802,NaN,NaN,0.92464,1.0836,1.0876,1.3217,NaN,NaN,2.1458,NaN,NaN,NaN,NaN,NaN,1.9649,1.599,1.9231,NaN,2.5937,NaN,1.6365,NaN
Q92520,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q92522,2,0.2036,1.3177,3.7213,4.1014,3.5013,2.2936,2.7287,3.3138,4.3418,4.2766,3.1242,1.6801,0.88236,0.59874,0.35934,0.28489,0.21018,0.18209,0.20758,NaN,0.1428,NaN,0.13109,0.13769,0.097648,0.18612,0.14117,0.13478,0.17833,0.11216,0.15307,0.18844,0.082289,0.34803,0.25392,0.10686,0.071718,0.083357,0.16052,0.18358,0.23682,0.19122,0.13988,0.13413,0.074059,0.23719,0.10155,0.13419,0.10124,0.14668,0.27784,0.17271,0.068853,NaN,0.65818
Q92526,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.26308,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.2517,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.18487,0.17953,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.22948,0.26681,NaN,NaN,NaN,NaN,NaN,NaN
Q92538,2,NaN,NaN,NaN,NaN,NaN,0.92768,NaN,NaN,NaN,0.92045,0.83196,NaN,1.0349,NaN,4.1561,3.176,1.1414,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q92541,2,NaN,0.43311,0.85731,NaN,NaN,0.38477,NaN,NaN,NaN,0.24823,0.35258,0.59196,0.42726,0.35998,0.33551,0.38011,0.52619,0.62454,0.45414,0.55974,0.63219,0.95534,0.5969,2.0051,0.77923,1.143,0.83829,0.5665,0.65304,1.8147,1.773,1.5232,1.6452,1.5922,1.7336,1.9541,2.0252,2.4291,3.6405,4.3878,6.2655,9.3807,6.5361,6.4022,3.7293,2.7363,2.3667,1.2556,NaN,0.52278,NaN,NaN,0.27212,NaN,NaN
Q92544,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q92556,2,0.34117,1.1457,2.9058,4.4828,4.3362,1.9402,1.6057,1.291,NaN,2.83,0.57463,0.57211,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0097,NaN,1.3567,0.33803,0.86517,1.1431,NaN,2.0772,3.3382,NaN,1.2388,NaN,0.55507,NaN,0.59862,0.61805,0.72397,0.86085,0.91357,0.84483,1.1886,0.87708,0.90268,1.4885,2.04,2.7778
Q92558,2,NaN,NaN,1.0841,0.814,0.74438,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.4734,1.7796,2.1887,2.947,4.4298,6.5217,5.7006,5.73,5.4967,2.632,3.582,2.72,2.0651,NaN,1.0622,0.74455,0.69306,NaN,NaN,NaN,NaN,NaN,0.42953,0.43971,0.21737,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q92572,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.1286,1.7349,3.0139,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q92575,2,NaN,8.0198,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q92576-2,2,NaN,NaN,2.122,NaN,5.6461,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.91109,NaN,NaN
Q92598-2,2,0.065455,0.093337,0.17295,0.18598,0.1357,0.12708,0.13285,0.12027,0.11452,0.12493,0.11956,0.13657,0.13494,0.15566,0.18565,0.1971,0.20904,0.24134,0.27606,0.47745,0.38696,0.43682,0.48916,0.53317,0.58916,0.67733,0.93834,0.9644,1.0523,1.4322,1.7766,1.9627,2.2983,2.8693,3.9178,4.5937,4.7273,5.3124,6.2141,5.6214,4.961,4.4834,3.1951,2.3297,1.2909,0.81848,0.5104,0.4309,0.34134,0.34232,0.27413,0.20263,0.22054,0.21676,0.15201
Q92608,2,0.46194,1.7876,2.1811,4.6536,3.1746,2.8089,1.967,1.3995,NaN,1.4721,1.4127,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.2088,1.1613,NaN,NaN,NaN,NaN
Q92609,2,0.28147,0.77512,NaN,1.6787,0.28652,0.64489,0.802,0.58664,1.0775,0.55455,NaN,0.62974,0.56179,0.76935,0.71668,0.7365,0.82508,0.99572,1.3437,2.0561,1.8873,2.177,2.5208,2.5976,2.8194,2.3384,2.1671,1.7561,1.5147,0.95339,2.2873,1.4213,2.1432,1.7459,1.614,1.4584,1.38,1.5036,2.8696,1.695,2.4059,1.9315,1.8181,NaN,NaN,NaN,0.36678,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q92614-2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q92616,2,NaN,1.1703,4.2716,2.2806,1.3411,0.9606,NaN,0.96814,1.2871,NaN,NaN,0.81299,0.67305,0.5291,0.545,NaN,NaN,NaN,NaN,1.0609,NaN,NaN,NaN,NaN,1.2771,1.4857,1.7435,1.8749,3.4931,3.3636,5.7647,3.4477,2.5714,2.7445,2.4996,1.793,1.2015,0.96715,NaN,0.78342,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q92619,2,0.20565,0.6642,1.1463,NaN,NaN,NaN,NaN,0.44549,0.59225,0.4422,NaN,0.42323,0.36709,0.4418,0.56058,0.55143,0.71148,0.61299,0.82999,1.0818,1.0416,1.3409,1.8027,1.7533,2.9783,2.6453,2.9331,3.3044,3.0719,3.2289,3.5387,2.7153,2.0663,2.1601,1.6387,1.1519,0.94311,0.9919,1.0892,1.0046,0.91971,1.0485,1.1213,NaN,NaN,1.0766,0.72373,NaN,0.54658,0.44808,0.34553,NaN,0.23635,NaN,NaN
Q92620,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.0107,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q92621,2,0.41979,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.48113,0.41134,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.8511,NaN,0.86232,NaN,NaN,NaN,2.5729,NaN,2.9015,4.8263,2.8377,3.1163,3.34,2.2188,1.8038,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q92625,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.0617,2.6056,3.2036,3.673,NaN,3.4127,2.9423,3.7527,2.9918,2.3556,1.3314,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q92664-2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.52925,NaN,NaN,3.2519,3.88,4.5883,4.4174,2.845,6.0573,7.9997,11.644,7.2233,8.6979,4.1575,NaN,1.0891,NaN,NaN,NaN,NaN,NaN,NaN
Q92665,2,0.15681,0.32953,0.90703,1.2362,0.89421,0.96091,1.084,1.2451,2.1796,3.196,3.5585,3.4118,2.706,1.8715,1.722,1.0659,0.49677,0.37219,0.48487,0.31901,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.36701,0.31681,NaN,0.32005,0.27366,0.42724,0.33942,NaN,NaN,0.22526,0.19509,0.23452,0.39689,NaN,NaN,NaN,0.43431,0.29181,NaN,0.35698,NaN,NaN,NaN,NaN,NaN
Q92667-2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q92688-2,2,0.04978,0.077415,0.10544,0.18397,0.11822,0.15342,0.10413,0.036647,0.022686,0.011559,0.12258,0.060774,0.10168,0.12922,0.089606,0.031787,0.10844,0.037831,0.030509,0.077867,0.066839,0.057843,NaN,0.063763,0.15068,NaN,0.095716,0.17402,0.030228,0.065716,0.19118,0.074969,0.10105,NaN,0.12242,0.1032,0.090156,0.15502,0.12793,0.074441,0.16138,0.19413,0.25066,0.51195,1.5985,5.5478,8.8416,13.576,11.655,9.0089,4.6249,2.6589,1.3398,0.7959,NaN
Q92696,2,NaN,0.47533,NaN,NaN,0.2697,0.92979,0.37171,0.38009,NaN,0.24008,0.46964,0.25908,NaN,NaN,NaN,0.15833,0.22366,0.40567,NaN,0.19318,NaN,NaN,0.37069,NaN,0.30048,NaN,NaN,NaN,NaN,0.44362,0.54402,0.5055,0.66653,0.65479,0.75367,0.93734,0.97378,1.1007,1.2336,1.6582,1.4718,1.4547,1.5679,1.6029,1.5403,2.0546,2.0903,2.1018,2.5652,2.5303,2.5406,2.2375,1.7386,1.3673,NaN
Q92734-2,2,0.11501,0.24193,0.18831,NaN,0.12308,0.11836,0.12332,0.56102,0.16179,0.36642,0.091113,0.20894,0.056468,0.23895,0.26153,0.45481,0.30393,0.7747,2.5632,7.6175,7.7268,7.6076,7.6993,6.2146,2.7141,1.8345,2.2263,1.069,0.75087,0.78879,0.60606,0.38586,0.45928,0.20433,0.26869,0.17816,0.19878,0.1899,0.29447,0.20779,0.078872,0.10711,0.50734,0.98596,0.6466,0.61188,0.55472,0.17041,0.18616,0.097982,NaN,NaN,0.15437,NaN,NaN
Q92747,2,NaN,NaN,NaN,NaN,NaN,NaN,0.29988,NaN,NaN,NaN,0.29753,0.1781,NaN,0.095502,NaN,NaN,NaN,NaN,0.18848,0.17921,NaN,NaN,NaN,NaN,NaN,0.15344,NaN,NaN,NaN,0.26246,NaN,0.19268,NaN,NaN,NaN,0.19207,0.32441,0.43528,0.23685,NaN,NaN,0.38556,NaN,0.80376,1.8997,2.5216,8.4176,4.8948,3.0569,3.0703,3.2481,NaN,NaN,NaN,NaN
Q92783-2,2,0.14304,0.43832,0.55336,NaN,0.38646,0.1933,0.31845,0.32391,0.44793,0.24481,0.37054,NaN,0.40175,0.29269,NaN,0.29736,0.3111,0.42969,0.57659,0.99646,1.5119,2.8711,6.1808,11.883,7.8241,7.3666,5.9815,2.549,2.6194,2.0761,1.5083,1.1802,0.99968,0.94058,0.69676,0.66794,0.57125,0.49243,0.5631,0.69936,0.94403,1.1581,1.049,0.911,0.63379,0.48973,0.40945,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q92793-2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q92797,2,NaN,NaN,4.8767,2.7722,2.1704,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.6318,3.0418,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q92804-2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.5407,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.0125,2.301,1.7777,2.4402,1.8076,1.1647,1.8518,2.35,1.9814,1.6976,1.2876,1.3473,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q92841,2,0.33237,0.9668,1.7153,3.3158,2.1767,1.9856,2.3092,2.2434,2.9397,2.6299,1.836,1.1499,0.77152,0.58727,0.45552,0.38246,0.31908,0.26568,0.27457,0.27558,0.26156,0.30133,0.25486,0.24571,0.28045,0.24281,0.28164,0.24212,0.23887,0.28417,0.29754,0.25449,0.28408,0.29899,0.33456,0.31261,0.37,0.36464,0.41682,0.46794,0.50622,0.59975,0.79589,1.24,1.1829,1.1526,0.94576,0.67811,0.53158,0.46699,0.381,0.31629,0.38518,0.44466,0.60165
Q92845-2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.64,3.4893,3.462,3.2394,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q92854,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.2872,2.7518,NaN,3.6736,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q92878,2,NaN,0.91847,3.2819,3.6782,4.8738,3.1492,3.3955,3.2565,3.802,2.6397,3.7884,3.7572,1.978,1.3611,0.93678,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.2813,NaN
Q92890,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.499,10.429,5.7538
Q92896,2,NaN,2.6945,4.0502,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q92900-2,2,0.2949,1.4759,3.9306,3.2631,2.3515,1.908,1.4645,0.66114,0.75409,0.59905,0.58245,0.45456,NaN,0.6136,0.87619,0.5465,0.26566,0.3925,0.54166,0.48161,0.47973,0.59746,1.0943,0.37817,0.79123,0.42385,0.60154,NaN,0.38785,0.47714,NaN,0.40205,0.59662,0.50004,0.71067,0.72938,0.65498,0.55979,0.55841,0.61421,0.67031,0.73912,0.85573,0.92152,0.95473,1.3168,1.6732,2.3587,2.6351,3.5222,3.4653,3.1273,5.5069,3.8635,2.3946
Q92905,2,0.13646,0.25045,NaN,0.32104,0.3253,NaN,0.21678,0.29071,0.31133,0.31462,0.31516,0.34884,0.37375,0.44589,0.54732,0.5306,0.46742,0.55711,0.80768,1.1619,1.7714,1.9226,2.0784,2.4505,5.1455,6.5216,5.2094,3.7606,3.5036,4.4511,2.9831,1.9783,1.6975,1.2114,0.89639,0.54056,0.32837,0.20923,0.2541,0.24523,0.30478,NaN,NaN,NaN,NaN,0.2732,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q92917,2,0.34413,NaN,NaN,1.0619,NaN,NaN,0.52082,0.46078,0.3846,0.25427,0.46809,NaN,0.20422,0.41527,NaN,0.27592,0.29174,0.22403,0.30348,0.51003,NaN,NaN,NaN,NaN,NaN,0.58061,NaN,NaN,NaN,0.70198,1.2521,0.89111,1.2455,1.1681,1.3369,1.5478,1.5834,1.7583,3.766,2.2401,2.9978,2.7334,2.8234,3.427,2.6508,2.0566,2.958,2.7455,3.6751,2.8387,1.9173,1.478,1.4609,0.78298,NaN
Q92922,2,NaN,2.1666,2.3045,2.2248,2.9344,2.0303,1.5243,2.8819,1.3022,1.0537,0.78925,1.68,0.95072,0.91456,1.4225,1.359,1.8329,1.7521,1.525,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q92934,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.985,9.9124,4.247,8.349,7.8821,4.7794,NaN
Q92945,2,1.1068,1.9723,2.6652,3.0377,1.7043,2.2512,1.8737,1.2846,1.5494,0.96093,1.1647,0.99474,0.81455,0.6456,0.81774,0.54147,0.56804,0.79777,0.70487,0.82067,0.94672,0.80801,0.58956,0.60744,0.58127,0.56119,1.1357,0.61392,1.0374,0.9327,0.94207,0.84128,1.0996,1.0713,1.1519,1.2154,0.91521,1.0349,0.94716,0.92814,1.1531,1.5469,1.858,1.89,1.8254,1.4646,1.4377,1.6916,1.7197,1.5793,2.8642,2.7663,2.4976,2.1402,3.0644
Q92947,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.3693,3.1762,3.8936,3.4542,NaN,NaN,NaN,NaN
Q92973-2,2,0.17689,0.65775,1.0162,0.98375,0.61424,0.48246,0.44268,0.53869,0.40399,0.33317,0.33311,0.32496,0.36771,0.41833,0.50961,0.4863,0.79659,0.37456,0.40718,0.2757,0.22479,0.27327,0.287,0.31088,0.3054,0.32448,0.39673,0.21287,0.39925,0.50233,0.61074,0.53182,0.60958,0.72551,0.82055,0.75157,0.72352,0.83388,1.2756,1.4727,1.5703,2.244,1.8793,2.1956,2.7379,3.9286,4.5749,4.8042,3.2621,3.617,2.4504,2.5138,2.6077,2.107,0.75587
Q92974-2,2,0.68605,2.0716,2.8434,3.2597,2.7512,2.4728,2.3445,2.4523,2.2775,2.0706,1.5976,1.3354,1.5121,1.6099,1.3928,0.89171,0.65223,NaN,0.43409,0.42163,0.49304,0.40881,NaN,NaN,0.33664,1.3539,NaN,NaN,NaN,NaN,NaN,0.23711,0.41863,0.19961,0.24985,0.18262,NaN,NaN,NaN,NaN,0.15803,0.22392,NaN,0.15427,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q92979,2,NaN,0.18412,NaN,0.92525,1.899,2.6678,2.2595,1.4159,2.1004,1.6894,1.2911,NaN,0.51185,0.42406,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q92990,2,NaN,NaN,1.1577,NaN,0.6113,0.56711,0.54813,0.46675,0.4125,0.37866,0.40483,NaN,NaN,NaN,0.26629,0.31011,0.3018,NaN,0.27243,0.42497,NaN,0.3818,0.3766,0.47376,NaN,0.63435,1.2595,6.2305,16.131,3.382,4.5588,2.8679,2.1675,1.581,1.5557,1.3433,1.3116,1.3179,1.596,1.7523,2.0965,2.1795,2.1088,2.1558,1.7705,NaN,1.3168,NaN,0.54179,0.47486,0.4262,0.19557,NaN,NaN,NaN
