ComplexID	ComplexName	Organism	Synonyms	Cell line	subunits(UniProt IDs)	subunits(Entrez IDs)	Protein complex purification method	GO ID	GO description	FunCat ID	FunCat description	Subunits comment	SWISSPROT organism	subunits(Protein name)	Disease comment	PubMed ID	subunits(Gene name)	Complex comment
2218	MDC1-MRE11-RAD50-NBS1 complex	Human	None	None	O60934;P49959;Q14676;Q92878	4683;4361;9656;10111	MI:0019- coimmunoprecipitation; MI:0096- pull down	GO:0006281;GO:0000075;GO:0006974;GO:0005634	DNA repair;cell cycle checkpoint;cellular response to DNA damage stimulus;nucleus	10.01.05;10.01.05.01;10.03.01.03;32.01.09;70.10	DNA recombination and DNA repair;DNA repair;cell cycle checkpoints (checkpoints of morphogenesis, DNA-damage,-replication, mitotic phase and spindle);DNA damage response;nucleus	None	Homo sapiens;Homo sapiens;Homo sapiens;Homo sapiens	Nibrin;Double-strand break repair protein MRE11A;Mediator of DNA damage checkpoint protein 1;DNA repair protein RAD50	None	12607003	NBN;MRE11A;MDC1;RAD50	In response to ionizing radiation, MDC1 is hyperphosphorylated and rapidly relocalizes to nuclear foci that also contain the MRE11 complex. MDC1-mediated focus formation by the MRE11 complex at sites of DNA damage is crucial for the efficient activation of the intra-S-phase checkpoint.
2219	TERF1 homodimer complex	Human	None	None	P54274	7013	MI:0413- electrophoretic mobility shift assay	GO:0000278;GO:0051726;GO:0003677;GO:0051276	mitotic cell cycle;regulation of cell cycle;DNA binding;chromosome organization	10.03.01;10.03.01.01;16.03.01;10.01.02;42.10.03	mitotic cell cycle and cell cycle control;mitotic cell cycle;DNA binding;DNA topology;organization of chromosome structure	None	Homo sapiens	Telomeric repeat-binding factor 1	None	9391075	TERF1	TERF1 is shown to be important in regulating telomere length. It may connect mitotic control to the telomere regulatory machinery.
2220	RAD52-ERCC4-ERCC1 complex	Human	None	None	P07992;P43351;Q92889	2067;5893;2072	MI:0004- affinity chromatography technologies; MI:0006- anti bait coimmunoprecipitation	GO:0006308;GO:0006310;GO:0006281;GO:0005634	DNA catabolic process;DNA recombination;DNA repair;nucleus	01.03.16;01.03.16.03;10.01.05;10.01.05.03;10.01.05.01;70.10	polynucleotide degradation;DNA degradation;DNA recombination and DNA repair;DNA recombination;DNA repair;nucleus	None	Homo sapiens;Homo sapiens;Homo sapiens	DNA excision repair protein ERCC-1;DNA repair protein RAD52 homolog;DNA repair endonuclease XPF	ERCC4 is involved in xeroderma pigmentosum group F.	14734547	ERCC1;RAD52;ERCC4	Rad52-XPF-ERCC1 complex processes recombination intermediates generated during the repair of DNA double strand breaks.
2221	RPA-MSH4-BLM complex	Mouse	None	None	O88700;Q62193;Q8VEE4;Q99MT2;Q9CQ71	12144;19891;68275;55993;68240	MI:0416- fluorescence microscopy; MI:0040- electron microscopy	GO:0000279;GO:0007067;GO:0051276;GO:0005634	M phase;mitotic nuclear division;chromosome organization;nucleus	10.03.01.01.11;10.01.02;42.10.03;70.10	M phase;DNA topology;organization of chromosome structure;nucleus	None	Mus musculus;Mus musculus;Mus musculus;Mus musculus;Mus musculus	Bloom syndrome protein homolog;Replication protein A 32 kDa subunit;Replication protein A 70 kDa DNA-binding subunit;MutS protein homolog 4;Replication protein A 14 kDa subunit	None	11950880	Blm;Rpa2;Rpa1;Msh4;Rpa3	RPA stimulates helicase activity of BLM.
2222	BLM complex II	Human	None	None	P15927;P27694;P35244;P54132;Q13472;Q9H9A7	6118;6117;6119;641;7156;80010	MI:0006- anti bait coimmunoprecipitation	GO:0051276;GO:0006281;GO:0006974;GO:0005634	chromosome organization;DNA repair;cellular response to DNA damage stimulus;nucleus	10.01.02;42.10.03;10.01.05;10.01.05.01;32.01.09;70.10	DNA topology;organization of chromosome structure;DNA recombination and DNA repair;DNA repair;DNA damage response;nucleus	None	Homo sapiens;Homo sapiens;Homo sapiens;Homo sapiens;Homo sapiens;Homo sapiens	Replication protein A 32 kDa subunit;Replication protein A 70 kDa DNA-binding subunit;Replication protein A 14 kDa subunit;Bloom syndrome protein, ;DNA topoisomerase 3-alpha;RecQ-mediated genome instability protein 1	None	15775963	RPA2;RPA1;RPA3;BLM;TOP3A;RMI1	BLAP75 is an integral component of BLM complexes and is essential for their stability.
2223	BLM-TOP3A complex	Human	None	None	P54132;Q13472	641;7156	MI:0006- anti bait coimmunoprecipitation	GO:0051276;GO:0005634	chromosome organization;nucleus	10.01.02;42.10.03;70.10	DNA topology;organization of chromosome structure;nucleus	None	Homo sapiens;Homo sapiens	Bloom syndrome protein, ;DNA topoisomerase 3-alpha	BLM is involved in Bloom syndrome (BS).	10734115	BLM;TOP3A	None
2224	MSH2/6-BLM-p53-RAD51 complex	Human	None	None	P04637;P43246;P52701;P54132;Q06609	7157;4436;2956;641;5888	MI:0006- anti bait coimmunoprecipitation	GO:0006281;GO:0006974;GO:0005634	DNA repair;cellular response to DNA damage stimulus;nucleus	10.01.05;10.01.05.01;32.01.09;70.10	DNA recombination and DNA repair;DNA repair;DNA damage response;nucleus	None	Homo sapiens;Homo sapiens;Homo sapiens;Homo sapiens;Homo sapiens	Cellular tumor antigen p53, ;DNA mismatch repair protein Msh2, ;DNA mismatch repair protein Msh6, ;Bloom syndrome protein, ;DNA repair protein RAD51 homolog 1,	BLM is involved in Bloom's syndrome.	15064730	TP53;MSH2;MSH6;BLM;RAD51	MSH2/6 protein complex stimulates the ability of the Bloom's syndrome gene product, BLM, to process Holliday junctions in vitro, an activity that could also be regulated by p53. MSH6 colocalizes with BLM and p53 in hydroxyurea-induced RAD51 nuclear foci.
2225	MutS-alpha-histone H4 complex	Mouse	None	None	P43247;P54276;P62806	17685;17688;None	MI:0402- chromatin immunoprecipitation assays	GO:0006312;GO:0030183;GO:9999997	mitotic recombination;B cell differentiation;no GO term corresponding to 73.03.07.02.01.01	10.01.05.03.03;43.03.07.02.01.01;73.03.07.02.01.01	somatic / mitotic recombination;B-cell;B-cell	None	Mus musculus;Mus musculus;Mus musculus	DNA mismatch repair protein Msh2;DNA mismatch repair protein Msh6;Histone H4	None	15753043	Msh2;Msh6;Hist1h4a	MSH2 associates with transcribed S regions in primary murine B cells activated for switch recombination. Electron microscopic imaging reveals that MutSalpha binds in vitro to DNA structures formed within transcribed S regions and mediates their synapsis.
2226	MutS-alpha-PK-zeta complex	Human	None	None	P43246;P52701;Q05513	4436;2956;5590	MI:0006- anti bait coimmunoprecipitation	GO:0006281;GO:0043161;GO:0006511	DNA repair;proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process	10.01.05;10.01.05.01;14.13.01.01	DNA recombination and DNA repair;DNA repair;proteasomal degradation (ubiquitin/proteasomal pathway)	None	Homo sapiens;Homo sapiens;Homo sapiens	DNA mismatch repair protein Msh2, ;DNA mismatch repair protein Msh6, ;Protein kinase C zeta type	None	15808853	MSH2;MSH6;PRKCZ	PKC zeta protects MutS-alpha protein complex from degradation. PKC zeta interacts with hMSH2 and hMSH6 proteins and phosphorylates both.
2228	BLM-RAD51L3-XRCC2 complex	Human	None	None	O43543;O75771;P54132	7516;5892;641	MI:0006- anti bait coimmunoprecipitation	GO:0006281;GO:0005634	DNA repair;nucleus	10.01.05;10.01.05.01;70.10	DNA recombination and DNA repair;DNA repair;nucleus	None	Homo sapiens;Homo sapiens;Homo sapiens	DNA repair protein XRCC2;DNA repair protein RAD51 homolog 4;Bloom syndrome protein,	BLM is involved in Bloom's syndrome (BS).	12975363	XRCC2;RAD51L3;BLM	Interaction between BLM and RAD51L3 is mediated through the N-terminal domain of BLM. RAD51L3-XRCC2 complex stimulates ability of BLM to disrupt Holliday junction structures.
2230	PCNA complex	Rabbit	None	None	P11387;P11802;P12004;P27694;P38936;Q00535;Q08211	7150;1019;5111;6117;1026;1020;1660	MI:0006- anti bait coimmunoprecipitation; MI:0071- molecular sieving	GO:0006260;GO:0007049;GO:0005634	DNA replication;cell cycle;nucleus	10.01.03;10;10.03;10.03.01.01.02;70.10	DNA synthesis and replication;CELL CYCLE AND DNA PROCESSING;cell cycle;G1/G0 transition, mitotic exit;nucleus	Since none of the proteins from rabbit were available in the UniProt database at the time of annotation, the orthologous human proteins were used.	Homo sapiens;Homo sapiens;Homo sapiens;Homo sapiens;Homo sapiens;;Homo sapiens	DNA topoisomerase 1;Cell division protein kinase 4;Proliferating cell nuclear antigen;Replication protein A 70 kDa DNA-binding subunit;Cyclin-dependent kinase inhibitor 1;Cell division protein kinase 5;ATP-dependent RNA helicase A	None	11254741	TOP1;CDK4;PCNA;RPA1;CDKN1A;CDK5;DHX9	None
2231	PCNA homotrimer complex	Human	None	None	P12004	5111	MI:0071- molecular sieving; MI:0029- cosedimentation through density gradients; MI:0006- anti bait coimmunoprecipitation	GO:0006260;GO:0005634	DNA replication;nucleus	10.01.03;70.10	DNA synthesis and replication;nucleus	None	Homo sapiens	Proliferating cell nuclear antigen	PCNA is a target for autoimmunity in systemic lupus erythematosus.	7522248	PCNA	PCNA exists mainly as homotrimer whose expression increases in the late G1- to S-phase of cell cycle.
2233	Replication-coupled CAF-1-MBD1-ETDB1 complex	Human	None	None	Q13111;Q15047;Q9UIS9	10036;9869;4152	MI:0006- anti bait coimmunoprecipitation; MI:0018- two hybrid	GO:0006260;GO:0006265;GO:0006349;GO:0000084;GO:0018126;GO:0006479;GO:0051276;GO:0005634	DNA replication;DNA topological change;regulation of gene expression by genetic imprinting;mitotic S phase;protein hydroxylation;protein methylation;chromosome organization;nucleus	10.01.03;10.01.09.05;10.01.09.07;10.03.01.01.05;14.07.09;10.01.02;42.10.03;70.10	DNA synthesis and replication;DNA conformation modification (e.g. chromatin);DNA imprinting and other epigenetic effects;S phase of mitotic cell cycle;posttranslational modification of amino acids (e.g. hydroxylation, methylation);DNA topology;organization of chromosome structure;nucleus	None	Homo sapiens;Homo sapiens;Homo sapiens	Chromatin assembly factor 1 subunit A;Histone-lysine N-methyltransferase SETDB1;Methyl-CpG-binding domain protein 1	None	15327775	CHAF1A;SETDB1;MBD1	Formation of CAF-1-MBD1-SETDB1 complex occurs during S phase of cell cycle. This complex facilitates methylation of H3-K9 during replication-coupled chromatin assembly.
2234	Chromatin assembly complex (CAF-1 complex)	Human	None	None	Q09028;Q13111;Q13112	5928;10036;8208	MI:0029- cosedimentation through density gradients	GO:0006260;GO:0006265;GO:0000084;GO:0051276;GO:0005634	DNA replication;DNA topological change;mitotic S phase;chromosome organization;nucleus	10.01.03;10.01.09.05;10.03.01.01.05;10.01.02;42.10.03;70.10	DNA synthesis and replication;DNA conformation modification (e.g. chromatin);S phase of mitotic cell cycle;DNA topology;organization of chromosome structure;nucleus	None	Homo sapiens;Homo sapiens;Homo sapiens	Histone-binding protein RBBP4;Chromatin assembly factor 1 subunit A;Chromatin assembly factor 1 subunit B	None	8858152	RBBP4;CHAF1A;CHAF1B	Caf-1 complex assembles nucleosomes in a replication-dependent manner.
2235	ASF1-interacting protein complex	Human	None	None	P54198;P68431;Q13111;Q13112;Q9NVP2;Q9Y294	7290;None;10036;8208;55723;25842	MI:0019- coimmunoprecipitation	GO:0006260;GO:0006265;GO:0051276	DNA replication;DNA topological change;chromosome organization	10.01.03;10.01.09.05;10.01.02;42.10.03	DNA synthesis and replication;DNA conformation modification (e.g. chromatin);DNA topology;organization of chromosome structure	None	Homo sapiens;Homo sapiens;Homo sapiens;Homo sapiens;Homo sapiens;Homo sapiens	Protein HIRA;Histone H3.1;Chromatin assembly factor 1 subunit A;Chromatin assembly factor 1 subunit B;Histone chaperone ASF1B;Histone chaperone ASF1A	None	15664198	HIRA;HIST1H3A;CHAF1A;CHAF1B;ASF1B;ASF1A	Asf1 provides the cells with a buffering system for histone excess generated in response to stalled replication and explains how mammalian cells maintain a critical "active" histone pool available for deposition during recovery from replication stresses.
2236	ASF1-histone containing complex	Human	None	None	O96017;P49321;P50502;P68431;Q13112;Q9NVP2;Q9Y294	11200;4678;6767;None;8208;55723;25842	MI:0071- molecular sieving	GO:0006260;GO:0006265;GO:0051276	DNA replication;DNA topological change;chromosome organization	10.01.03;10.01.09.05;10.01.02;42.10.03	DNA synthesis and replication;DNA conformation modification (e.g. chromatin);DNA topology;organization of chromosome structure	None	Homo sapiens;Homo sapiens;Homo sapiens;Homo sapiens;Homo sapiens;Homo sapiens;Homo sapiens	Serine/threonine-protein kinase Chk2;Nuclear autoantigenic sperm protein;Hsc70-interacting protein;Histone H3.1;Chromatin assembly factor 1 subunit B;Histone chaperone ASF1B;Histone chaperone ASF1A	None	15664198	CHEK2;NASP;ST13;HIST1H3A;CHAF1B;ASF1B;ASF1A	Asf1 provides the cells with a buffering system for histone excess generated in response to stalled replication and explains how mammalian cells maintain a critical "active" histone pool available for deposition during recovery from replication stresses.
2237	SP1-MCAF2 complex	Human	None	None	P08047;Q5U623	6667;80063	MI:0019- coimmunoprecipitation	GO:0006265;GO:0006349;GO:0016564;GO:0032774;GO:0051276;GO:0005634	DNA topological change;regulation of gene expression by genetic imprinting;obsolete transcription repressor activity;RNA biosynthetic process;chromosome organization;nucleus	10.01.09.05;10.01.09.07;11.02.03.04.03;11.02.03.04.05;11.02.03.04.07;11.04.05;10.01.02;42.10.03;70.10	DNA conformation modification (e.g. chromatin);DNA imprinting and other epigenetic effects;transcription repression;enhancer/silencer interaction;posttranscriptional control;RNA topology;DNA topology;organization of chromosome structure;nucleus	None	Homo sapiens;Homo sapiens	Transcription factor Sp1;Activating transcription factor 7-interacting protein 2	None	15691849	SP1;ATF7IP2	MCAF2 also binds to SETDB1, but more efficiently to SP1.
2238	MBD1-MCAF1-SETDB1 complex	Human	None	None	Q15047;Q6VMQ6;Q9UIS9	9869;55729;4152	MI:0019- coimmunoprecipitation	GO:0006265;GO:0006349;GO:0016564;GO:0032774;GO:0018126;GO:0006479;GO:0051276;GO:0005634	DNA topological change;regulation of gene expression by genetic imprinting;obsolete transcription repressor activity;RNA biosynthetic process;protein hydroxylation;protein methylation;chromosome organization;nucleus	10.01.09.05;10.01.09.07;11.02.03.04.03;11.02.03.04.05;11.02.03.04.07;11.04.05;14.07.09;10.01.02;42.10.03;70.10	DNA conformation modification (e.g. chromatin);DNA imprinting and other epigenetic effects;transcription repression;enhancer/silencer interaction;posttranscriptional control;RNA topology;posttranslational modification of amino acids (e.g. hydroxylation, methylation);DNA topology;organization of chromosome structure;nucleus	None	Homo sapiens;Homo sapiens;Homo sapiens	Histone-lysine N-methyltransferase SETDB1;Activating transcription factor 7-interacting protein 1;Methyl-CpG-binding domain protein 1	None	15691849	SETDB1;ATF7IP;MBD1	MCAF1 enhances transcriptional repression by MBD1 together with SETDB1.
2240	Hd-Hap1-Dctn1 complex	Rat	None	None	P28023;P51111;P54256	29167;29424;29430	MI:0019- coimmunoprecipitation	GO:0030705;GO:0005737;GO:9999984	cytoskeleton-dependent intracellular transport;cytoplasm;no GO term corresponding to 77.03.01.01.01	20.09.14;70.03;77.03.01.01.01	cytoskeleton-dependent transport;cytoplasm;brain	None	Rattus norvegicus;Rattus norvegicus;Rattus norvegicus	Dynactin subunit 1;Huntingtin;Huntingtin-associated protein 1	None	9454836	Dctn1;Htt;Hap1	This protein complex may take part in dynein-dynactin-associated intracellular transport.
2241	HD-RAB8A-OPTN complex	Human	None	None	P42858;P61006;Q96CV9	3064;4218;10133	MI:0004- affinity chromatography technologies; MI:0018- two hybrid	GO:0016192	vesicle-mediated transport	20.09.07	vesicular transport (Golgi network, etc.)	None	Homo sapiens;Homo sapiens;Homo sapiens	Huntingtin;Ras-related protein Rab-8A;Optineurin	None	11137014	HTT;RAB8A;OPTN	This complex probably involved in membrane trafficking and cellular morphogenesis.
2242	TGM2-HD-CALM1 complex	Human	None	None	P21980;P42858;P62158	7052;3064;None	MI:0019- coimmunoprecipitation	GO:0006461	protein complex assembly	14.10	assembly of protein complexes	None	Homo sapiens;Homo sapiens;Homo sapiens	Protein-glutamine gamma-glutamyltransferase 2;Huntingtin;Calmodulin	None	14985437	TGM2;HTT;CALM1	Inhibiting the interaction of calmodulin with transglutaminase and huntingtin protein could decrease cross-linking and diminish huntingtin aggregate formation in the HD brain.
2243	TGM2-HD complex	Human	None	None	P21980;P42858	7052;3064	MI:0019- coimmunoprecipitation	GO:0006461	protein complex assembly	14.10	assembly of protein complexes	None	Homo sapiens;Homo sapiens	Protein-glutamine gamma-glutamyltransferase 2;Huntingtin	None	11442349	TGM2;HTT	None
2247	Dynactin complex (DCTN1, DCTN2, DCTN3, DCTN4, DCTN6, CAPZA1, CAPZB, ACTR1A)	Bovine	None	None	O00399;O75935;P47756;P52907;P61163;Q13561;Q14203;Q9UJW0	10671;11258;832;829;10121;10540;1639;51164	MI:0004- affinity chromatography technologies; MI:0029- cosedimentation through density gradients	GO:0030705;GO:9999984	cytoskeleton-dependent intracellular transport;no GO term corresponding to 77.03.01.01.01	20.09.14;77.03.01.01.01	cytoskeleton-dependent transport;brain	None	Homo sapiens;Homo sapiens;Homo sapiens;Homo sapiens;Homo sapiens;Homo sapiens;;Homo sapiens	Dynactin subunit 6;Dynactin subunit 3;F-actin-capping protein subunit beta;F-actin-capping protein subunit alpha-1;Alpha-centractin;Dynactin subunit 2;Dynactin subunit 1;Dynactin subunit 4	None	10074429	DCTN6;DCTN3;CAPZB;CAPZA1;ACTR1A;DCTN2;DCTN1;DCTN4	None
2254	CTGF/Hcs24-actin complex	Human	None	None	P29279;P60709;P63261	1490;60;71	MI:0019- coimmunoprecipitation; MI:0004- affinity chromatography technologies	GO:0030037;GO:0030036;GO:0051216;GO:0005737	actin filament reorganization involved in cell cycle;actin cytoskeleton organization;cartilage development;cytoplasm	10.03.05;10.03.05.03;42.04.03;45.03.05.05;70.03	cell cycle dependent cytoskeleton reorganization;cell cycle dependent actin filament reorganization;actin cytoskeleton;cartilage;cytoplasm	None	Homo sapiens;Homo sapiens;Homo sapiens	Connective tissue growth factor;Actin, cytoplasmic 1;Actin, cytoplasmic 2	None	12470643	CTGF;ACTB;ACTG1	The authors suggest that binding of CTGF/Hcs24 to actin in chondrocytes may play some important roles in the regulation of cytoskeletal organization and of the cell cycle.
2255	Cofilin-actin-CAP1 complex	Human	None	None	P23528;P60709;Q01518	1072;60;10487	MI:0096- pull down	GO:0006928;GO:0030036;GO:0015629	movement of cell or subcellular component;actin cytoskeleton organization;actin cytoskeleton	02.45.11;34.05;42.04.03;70.04.03	conversion to kinetic energy (e.g. movement);cell motility;actin cytoskeleton;actin cytoskeleton	None	Homo sapiens;Homo sapiens;Homo sapiens	Cofilin-1;Actin, cytoplasmic 1;Adenylyl cyclase-associated protein 1	None	11950878	CFL1;ACTB;CAP1	As well as full-length CAP1, both CAP1-NT and CAP1-CT enhanced cofilin-induced acceleration of F-actin turnover, whereas their effect was only marginally visible in the absence of cofilin. Localization experiments in fibroblasts demonstrated that CAP1-NT is primarily responsible for accumulating CAP1 with cofilin and actin in dynamic peripheral regions of spreading cells.
2256	RIAM-Rap1-GTP complex	Human	None	None	P62834;Q7Z5R6	5906;54518	MI:0019- coimmunoprecipitation; MI:0096- pull down	GO:0007155;GO:0030036;GO:0005886	cell adhesion;actin cytoskeleton organization;plasma membrane	34.07;42.04.03;70.02;70.02.01	cell adhesion;actin cytoskeleton;eukaryotic plasma membrane / membrane attached;eukaryotic intracellular plasma membrane	None	Homo sapiens;Homo sapiens	Ras-related protein Rap-1A;Amyloid beta A4 precursor protein-binding family B member 1-interacting protein	None	15469846	RAP1A;APBB1IP	RIAM preferentially interacted with Rap1-GTP compared to Ras-GTP. The results indicate that RIAM is required for localization of Rap1-GTP at the plasma membrane.
2258	VILIP-1-AChR-alpha-4-AChR-beta-2 complex	Human	None	None	P17787;P43681;P62760	1141;1137;7447	MI:0096- pull down	GO:0005509;GO:0050789;GO:0005216;GO:0007268	calcium ion binding;regulation of biological process;ion channel activity;synaptic transmission	16.17.01;18.01;18.02;18.02.10;20.03.01.01;34.03.01	calcium binding;regulation by ;regulation of protein activity;regulation of channel activity;ion channels;synaptic transmission	None	Homo sapiens;Homo sapiens;Homo sapiens	Neuronal acetylcholine receptor subunit beta-2;Neuronal acetylcholine receptor subunit alpha-4;Visinin-like protein 1	None	12202488	CHRNB2;CHRNA4;VSNL1	The results suggest a rule for VILIP-1 as an AChR-associated protein that modulates the surface expression levels and functional properties of alpha 4beta 2 AChRs in response to changes in the intracellular levels of calcium.
2261	GluR6a-GluR6b heterodimer complex	Mammalia	None	COS cells	P39087	14806	MI:0019- coimmunoprecipitation	GO:0008324;GO:0006812;GO:0005216;GO:0007268;GO:0005886	cation transmembrane transporter activity;cation transport;ion channel activity;synaptic transmission;plasma membrane	20.01.01.01;20.03.01.01;34.03.01;70.02;70.02.01	cation transport (H+, Na+, K+, Ca2+ , NH4+, etc.);ion channels;synaptic transmission;eukaryotic plasma membrane / membrane attached;eukaryotic intracellular plasma membrane	The authors show that the two splice variants of the GluR6 subunit, GluR6a and GluR6b, which differ in their C-terminal domains, do not show distinct functional properties, but coassemble as heteromers in vitro and in vivo.	Mus musculus	Glutamate receptor, ionotropic kainate 2	None	16102538	Grik2	None
2266	PPP3CA-PPP3CA-RCAN1 complex	Human	None	None	P16298;P53805;Q08209	5532;1827;5530	MI:0019- coimmunoprecipitation	GO:0019722	calcium-mediated signaling	30.01.09.03	Ca2+ mediated signal transduction	None	Homo sapiens;Homo sapiens;Homo sapiens	Serine/threonine-protein phosphatase 2B catalytic subunit beta isoform;Calcipressin-1;Serine/threonine-protein phosphatase 2B catalytic subunit alpha isoform,	None	12809556	PPP3CB;RCAN1;PPP3CA	None
2267	Pick1 homodimer complex	Rat	None	None	Q9EP80	84591	MI:0096- pull down	GO:0006461	protein complex assembly	14.10	assembly of protein complexes	None	Rattus norvegicus	PRKCA-binding protein	None	11466413	Pick1	The authors conclude that PICK1 dimerizes or multimerizes via the coiled coil region or the C-terminal neighboring sequences.
2268	Pick1-Glur2-Pkca complex, TPA (tissue plasminogen activator) treated	Rat	None	None	P05696;P19491;Q9EP80	24680;29627;84591	MI:0096- pull down	GO:0006886;GO:0006605;GO:0015031;GO:0007268;GO:0005886	intracellular protein transport;protein targeting;protein transport;synaptic transmission;plasma membrane	14.04;14;20.01.10;34.03.01;70.02;70.02.01	protein targeting, sorting and translocation;PROTEIN FATE (folding, modification, destination);protein transport;synaptic transmission;eukaryotic plasma membrane / membrane attached;eukaryotic intracellular plasma membrane	None	Rattus norvegicus;Rattus norvegicus;Rattus norvegicus	Protein kinase C alpha type;Glutamate receptor 2;PRKCA-binding protein	None	11466413	Prkca;Gria2;Pick1	The experiment demonstrates that a heterocomplex, in which a PICK1 dimer or higher multimer is linked simultaneously to the C termini of PKC-alpha  and GluR2, forms by a phorbol ester and PDZ-dependent mechanism. Such a complex could target the activated form of PKC-alpha  to GluR2. Ser880 of GluR2 is a substrate for PKC. To determine whether PICK1 clusters contain GluR2 that has been phosphorylated by PKC, the authors assayed the clusters for GluR2Ser880-PO4 by using an affinity-purified phosphopeptide antiserum. Western blot analysis revealed that TPA (tissue plasminogen activator)  induced a strong increase of GluR2Ser880-PO4 present in protein extracts from neurons, confirming the PKC phosphorylation of GluR2 in vivo.
2270	Hippocalcin-beta2-adaptin-Glur2 complex, Ca(2+) dependent	Rat	None	None	P19491;P62944;P84076	29627;140670;29177	MI:0019- coimmunoprecipitation	GO:0005509;GO:0006897;GO:0007268;GO:0005886;GO:9999994;GO:9999985	calcium ion binding;endocytosis;synaptic transmission;plasma membrane;no GO term corresponding to 73.03.13;no GO term corresponding to 77.03.01.01	16.17.01;20.09.18.09.01;34.03.01;70.02;70.02.01;73.03.13;77.03.01.01	calcium binding;endocytosis;synaptic transmission;eukaryotic plasma membrane / membrane attached;eukaryotic intracellular plasma membrane;neuron;central nervous system	The authors state that beta2-adaptin is part of AP2 complex, described in PMID:12086608.	Rattus norvegicus;Rattus norvegicus;Rattus norvegicus	Glutamate receptor 2;AP-2 complex subunit beta-1;Neuron-specific calcium-binding protein hippocalcin	None	16102532	Gria2;Ap2b1;Hpca	The authors describe that in neurons the hippocalcin-AP2 complex binds TfR in a Ca(2+)-independent manner, whereas the complex only binds to AMPARs, like Glur2 in the presence of Ca(2+). Since there is no direct interaction between hippocalcin and GluR2/3, the data indicate that hippocalcin complexes with AMPARs via its interaction with AP2. Hippocalcin binds the beta-2-adaptin subunit of the AP2 adaptor complex.
2271	Grip-Glur2/3-liprin-alpha-Lar complex	Rat	None	None	P19491;P19492;P97879;Q64604;Q91Z80;Q9WTW1	29627;29628;84016;360406;140592;171571	MI:0006- anti bait coimmunoprecipitation; MI:0030- cross-linking studies	GO:0006886;GO:0006605;GO:0015031;GO:0032505;GO:0005886;GO:9999984	intracellular protein transport;protein targeting;protein transport;reproduction of a single-celled organism;plasma membrane;no GO term corresponding to 77.03.01.01.01	14.04;14;20.01.10;41.05.13.01;70.02;70.02.01;77.03.01.01.01	protein targeting, sorting and translocation;PROTEIN FATE (folding, modification, destination);protein transport;synaptogenesis;eukaryotic plasma membrane / membrane attached;eukaryotic intracellular plasma membrane;brain	None	Rattus norvegicus;Rattus norvegicus;Rattus norvegicus;Rattus norvegicus;Rattus norvegicus;Rattus norvegicus	Glutamate receptor 2;Glutamate receptor 3;Glutamate receptor-interacting protein 1;Receptor-type tyrosine-protein phosphatase F;Liprin-alpha-4;Glutamate receptor-interacting protein 2	None	11931740	Gria2;Gria3;Grip1;Ptprf;Ppfia4;Grip2	The authors showed that Liprin-alpha and LAR-RPTPs are enriched at synaptic sites, and interfering with the GRIP-liprin-alpha interaction disrupts the synaptic targeting of AMPA receptors.
2272	PICK1-GRIP1-GLUR2 complex	Human	None	None	P42262;Q9NRD5;Q9Y3R0	2891;9463;23426	MI:0096- pull down	GO:0006886;GO:0006605;GO:0015031;GO:0006897;GO:0005886	intracellular protein transport;protein targeting;protein transport;endocytosis;plasma membrane	14.04;14;20.01.10;20.09.18.09.01;70.02;70.02.01	protein targeting, sorting and translocation;PROTEIN FATE (folding, modification, destination);protein transport;endocytosis;eukaryotic plasma membrane / membrane attached;eukaryotic intracellular plasma membrane	None	Homo sapiens;Homo sapiens;Homo sapiens	Glutamate receptor 2;PRKCA-binding protein;Glutamate receptor-interacting protein 1	None	16055064	GRIA2;PICK1;GRIP1	Complex analysed both in vitro and in vivo. This triple complex may function in the presentation of PKC-PICK1 complexes to the ABP/GRIP-GluR2 complex.
2273	Nsg1-Glur2-Grip1 complex	Rat	None	None	P02683;P19491;P97879	25247;29627;84016	MI:0019- coimmunoprecipitation; MI:0096- pull down	GO:0006886;GO:0006605;GO:0015031;GO:0006897;GO:0005886;GO:9999984	intracellular protein transport;protein targeting;protein transport;endocytosis;plasma membrane;no GO term corresponding to 77.03.01.01.01	14.04;14;20.01.10;20.09.18.09.01;70.02;70.02.01;77.03.01.01.01	protein targeting, sorting and translocation;PROTEIN FATE (folding, modification, destination);protein transport;endocytosis;eukaryotic plasma membrane / membrane attached;eukaryotic intracellular plasma membrane;brain	None	Rattus norvegicus;Rattus norvegicus;Rattus norvegicus	Neuron-specific protein family member 1;Glutamate receptor 2;Glutamate receptor-interacting protein 1	None	16037816	Nsg1;Gria2;Grip1	The results indicate that NEEP21-RIP1 binding is crucial for GluR2-AMPAR sorting through endosomes and their recruitment to the plasma membrane.
